Date,Description,Category,Amount_MXN,Amount_USD,Source_File,Account_Type,Status
2025-05-02,Transfer to Karen,Transfer:Karen,900.00,,banregio-2025-05.pdf,debit,
2025-05-02,Transfer to Karen,Transfer:Karen,3000.00,,banregio-2025-05.pdf,debit,
2025-05-02,Transfer to Karen,Transfer:Karen,2500.00,,banregio-2025-05.pdf,debit,
2025-05-02,Transfer to Karen,Transfer:Karen,3000.00,,banregio-2025-05.pdf,debit,
2025-05-05,Transfer to Karen,Transfer:Karen,2800.00,,banregio-2025-05.pdf,debit,
2025-05-09,Transfer to Karen,Transfer:Karen,3000.00,,banregio-2025-05.pdf,debit,
2025-05-13,Transfer to Karen,Transfer:Karen,2500.00,,banregio-2025-05.pdf,debit,
2025-05-18,Mortgage Payment,Housing:Mortgage,27779.73,,banregio-2025-05.pdf,debit,
2025-05-19,Transfer to Karen,Transfer:Karen,3000.00,,banregio-2025-05.pdf,debit,
2025-05-22,Transfer to Karen,Transfer:Karen,3000.00,,banregio-2025-05.pdf,debit,
2025-05-23,Transfer to Karen,Transfer:Karen,4000.00,,banregio-2025-05.pdf,debit,
2025-05-30,Transfer to Karen,Transfer:Karen,3000.00,,banregio-2025-05.pdf,debit,
