Fecha,Fecha de Compra,Descripción,Importe
25 Mar 2025,26 Mar 2025,REST SANTORIA I         CIUDAD DE MEX,4485.00
25 Mar 2025,25 Mar 2025,UBER TRIP               HTTPS://HELP.UB,46.53
24 Mar 2025,24 Mar 2025,APPLE.COM/BILL          CUPERTINO,476.00
24 Mar 2025,25 Mar 2025,GOOGLE *WORKSPACE       CC@GOOGLE.COM,200.00
24 Mar 2025,25 Mar 2025,REST OJO ROJO DINNER    CIUDAD DE MEX,297.00
23 Mar 2025,23 Mar 2025,AEROMEXICO 8697744      NUEVO PORTAL,4486.12
23 Mar 2025,23 Mar 2025,AMAZON MX MSI MKT*AMAZO MEXICO CITY,42.45
23 Mar 2025,23 Mar 2025,AMAZON MX MSI MKT*AMAZO MEXICO CITY,450.69
23 Mar 2025,23 Mar 2025,AMAZON MX MSI MKT*AMAZO MEXICO CITY,569.14
23 Mar 2025,23 Mar 2025,AMAZON MX MSI MKT*AMAZO MEXICO CITY,1021.50
23 Mar 2025,23 Mar 2025,AMAZON MX MSI RETAIL*AM MEXICO CITY,966.59
23 Mar 2025,23 Mar 2025,AMAZON MX MSI RETAIL*AM MEXICO CITY,1091.39
23 Mar 2025,23 Mar 2025,AMAZON MX MSI RETAIL*AM MEXICO CITY,1666.42
23 Mar 2025,23 Mar 2025,APPLE.COM/BILL          CUPERTINO,17.00
23 Mar 2025,23 Mar 2025,APPLE.COM/BILL          CUPERTINO,129.00
23 Mar 2025,24 Mar 2025,CASAS DE COMIDA DEGU S  CIUDAD DE MEX,763.60
23 Mar 2025,25 Mar 2025,GOOGLE *NEST            G.CO/HELPPAY#,150.00
23 Mar 2025,24 Mar 2025,GOOGLE *YOUTUBEPREMIUM  G.CO/HELPPAY#,139.00
23 Mar 2025,23 Mar 2025,PALACIODEHIERRO DURANGO MEXICO,6658.88
23 Mar 2025,24 Mar 2025,WWW.MUBI.COM            NEW YORK,179.00
23 Mar 2025,24 Mar 2025,ZTL*RIMESSA VINOS       CIUDAD DE MÉXIC,675.00
22 Mar 2025,22 Mar 2025,CABLE Y COMU MORELIA SA CIUDAD DE MEXIC,719.38
22 Mar 2025,23 Mar 2025,GIGI                    MEXICO,879.74
22 Mar 2025,23 Mar 2025,OSTERIA MATTEA          MEXICO,4456.25
21 Mar 2025,22 Mar 2025,AMAZON MX MARKETPLACE*A MEXICO CITY,899.99
21 Mar 2025,22 Mar 2025,ATARANTADOS             CIUDAD DE MEX,339.90
21 Mar 2025,22 Mar 2025,DELIRIO                 MEXICO,40.00
21 Mar 2025,22 Mar 2025,DELIRIO                 MEXICO,980.00
21 Mar 2025,21 Mar 2025,RAPPI*RAPPI MEXICO      MEXICO CITY,30.00
21 Mar 2025,21 Mar 2025,RAPPI*RAPPI MEXICO      MEXICO CITY,655.80
21 Mar 2025,21 Mar 2025,SPOTIFY MX              MEXICO,129.00
20 Mar 2025,20 Mar 2025,F45 TRAINING CONDESA    CIUDAD DE MEX,350.00
20 Mar 2025,21 Mar 2025,PETCO CONDESA II        CUAUHTEMOC,459.00
20 Mar 2025,21 Mar 2025,REST OJO ROJO DINNER    CIUDAD DE MEX,319.00
19 Mar 2025,20 Mar 2025,EL PALACIO DE HIERRO DU MEXICO,24199.45
19 Mar 2025,20 Mar 2025,GONZALITOS TAQUERIA S   CIUDAD DE MEX,344.30
19 Mar 2025,19 Mar 2025,NETFLIX.COM             NETFLIX.COM,514.71
18 Mar 2025,20 Mar 2025,GOOGLE *TINDER          G.CO/HELPPAY#,164.00
18 Mar 2025,18 Mar 2025,RAPPI*RAPPI MEXICO      MEXICO CITY,30.00
18 Mar 2025,18 Mar 2025,RAPPI*RAPPI MEXICO      MEXICO CITY,1411.80
18 Mar 2025,18 Mar 2025,REST POLLOS PONCHO 0001 CIUDAD DE MEX,211.20
18 Mar 2025,18 Mar 2025,SP STACKEDSTORE.COM     SINGAPORE,7365.26
17 Mar 2025,18 Mar 2025,AMAZON MX MARKETPLACE*A MEXICO CITY,89.00
17 Mar 2025,18 Mar 2025,AMAZON MX*AMAZON RETAIL MEXICO CITY,795.00
17 Mar 2025,18 Mar 2025,BUNA CAFE RICO SAPI     CIUDAD DE MEX,395.00
17 Mar 2025,17 Mar 2025,RAPPI*RAPPI MEXICO      MEXICO CITY,30.00
17 Mar 2025,17 Mar 2025,RAPPI*RAPPI MEXICO      MEXICO CITY,772.80
17 Mar 2025,17 Mar 2025,SR CROISSANT 000355734  CIUDAD DE MEX,100.00
15 Mar 2025,18 Mar 2025,AMAZON MX MARKETPLACE*A MEXICO CITY,998.00
15 Mar 2025,16 Mar 2025,AMAZON MX MARKETPLACE*A MEXICO CITY,1731.60
15 Mar 2025,15 Mar 2025,ROTOPLAS SERVICIO       CDMX,369.00
15 Mar 2025,15 Mar 2025,UBER TRIP               HTTPS://HELP.UB,398.20
14 Mar 2025,14 Mar 2025,FS *PUT.IO              877-327-8914,203.84
14 Mar 2025,15 Mar 2025,NETPAY*ROKAI RAMEN 2 RI Ciudad De Mexic,6555.00
14 Mar 2025,15 Mar 2025,REST OJO ROJO DINNER    CIUDAD DE MEX,1374.25
14 Mar 2025,14 Mar 2025,SHRM TRUSTEES BVI LTD   TORTOLA,4244.39
14 Mar 2025,15 Mar 2025,UBER TRIP               HTTPS://HELP.UB,84.14
13 Mar 2025,13 Mar 2025,ENO ROMA                MEXICO,462.00
13 Mar 2025,14 Mar 2025,THE REST IS HISTORY     HAYWARDS HEATH,160.47
12 Mar 2025,13 Mar 2025,MARCELLO                MEXICO,500.50
12 Mar 2025,12 Mar 2025,REST PANADERIA ROSETTA  CIUDAD DE MEX,700.35
12 Mar 2025,12 Mar 2025,TELEFONOS DE MEXICO SAB CIUDAD DE MEXIC,1149.00
11 Mar 2025,12 Mar 2025,AMAZON MX*AMAZON RETAIL MEXICO CITY,868.10
11 Mar 2025,12 Mar 2025,BELMONDO                MEXICO,319.00
11 Mar 2025,13 Mar 2025,GOOGLE *TINDER          G.CO/HELPPAY#,164.00
10 Mar 2025,13 Mar 2025,REST OJO ROJO DINNER    CIUDAD DE MEX,385.00
10 Mar 2025,11 Mar 2025,WHISTLE.COM             PORTLAND,171.93
09 Mar 2025,09 Mar 2025,GIGI                    MEXICO,868.25
09 Mar 2025,10 Mar 2025,UBER TRIP               HTTPS://HELP.UB,21.00
09 Mar 2025,09 Mar 2025,UBER TRIP               HTTPS://HELP.UB,36.92
09 Mar 2025,10 Mar 2025,UBER TRIP               HTTPS://HELP.UB,145.59
09 Mar 2025,10 Mar 2025,UBER TRIP               HTTPS://HELP.UB,173.05
08 Mar 2025,08 Mar 2025,CONEKTA*ESCAPEROOMSMEXI CDMX,-700.00
08 Mar 2025,08 Mar 2025,CONEKTA*ESCAPEROOMSMEXI CDMX,700.00
08 Mar 2025,08 Mar 2025,LALO]                   MEXICO,1668.65
08 Mar 2025,10 Mar 2025,MERCADOPAGO*CASAVIRGINI Cuauht?moc,5844.00
08 Mar 2025,08 Mar 2025,UBER TRIP               HTTPS://HELP.UB,76.78
07 Mar 2025,07 Mar 2025,AMAZON MX MARKETPLACE*A MEXICO CITY,169.00
07 Mar 2025,07 Mar 2025,AMAZON MX MARKETPLACE*A MEXICO CITY,262.24
07 Mar 2025,08 Mar 2025,AMAZON MX MARKETPLACE*A MEXICO CITY,529.00
07 Mar 2025,10 Mar 2025,AMAZON MX MARKETPLACE*A MEXICO CITY,649.00
07 Mar 2025,09 Mar 2025,MERCADOPAGO*88RESTAURAN CDMX,1239.60
07 Mar 2025,07 Mar 2025,REST GARDELA            CIUDAD DE MEX,4449.50
07 Mar 2025,07 Mar 2025,WHITEPAPER.MX           SAN PEDRO GARZA,159.00
06 Mar 2025,08 Mar 2025,GOOGLE *GOOGLE ONE      G.CO/HELPPAY#,34.00
06 Mar 2025,06 Mar 2025,OEL*DEIGO~RAMEN~ROMA~NO CUAHTEMOC,65.00
06 Mar 2025,06 Mar 2025,OEL*DEIGO~RAMEN~ROMA~NO CUAHTEMOC,341.00
06 Mar 2025,06 Mar 2025,UBER TRIP               HTTPS://HELP.UB,68.20
05 Mar 2025,06 Mar 2025,BELMONDO                MEXICO,319.00
05 Mar 2025,06 Mar 2025,PIZZA FELIX             MEXICO,1328.25
05 Mar 2025,06 Mar 2025,REST DRUNKENDOG 0001449 CIUDAD DE MEX,1161.50
04 Mar 2025,04 Mar 2025,APPLE.COM/BILL          CUPERTINO,327.00
04 Mar 2025,05 Mar 2025,ATARANTADOS             CIUDAD DE MEX,308.00
04 Mar 2025,10 Mar 2025,CGO AUT TELCEL REGION 8 MERIDA,804.99
04 Mar 2025,06 Mar 2025,GOOGLE *TINDER          G.CO/HELPPAY#,164.00
04 Mar 2025,05 Mar 2025,OPENAI *CHATGPT SUBSCR  SAN FRANCISCO,4282.95
04 Mar 2025,04 Mar 2025,RAPPI*RAPPI MEXICO      MEXICO CITY,59.50
04 Mar 2025,05 Mar 2025,SONORA GRILL SANTA FE   MEXICO,922.88
04 Mar 2025,04 Mar 2025,UBER TRIP               HTTPS://HELP.UB,210.68
03 Mar 2025,03 Mar 2025,AMAZON MX*PRIME VIDEO C MEXICO CITY,109.00
03 Mar 2025,04 Mar 2025,EL CALIFA ROMA          MEXICO,861.35
03 Mar 2025,04 Mar 2025,REST OJO ROJO DINNER    CIUDAD DE MEX,374.00
03 Mar 2025,04 Mar 2025,UBER TRIP               HTTPS://HELP.UB,242.21
03 Mar 2025,04 Mar 2025,ZTL*OPERADORA DE CAFETE METEPEC,90.00
03 Mar 2025,04 Mar 2025,ZTL*QUENTIN CAFÉ        MEXICO,88.00
02 Mar 2025,02 Mar 2025,OPENPAY*STARLINK        CIUDAD DE MEXIC,1100.00
02 Mar 2025,02 Mar 2025,RAPPI*RAPPI MEXICO      MEXICO CITY,872.80
02 Mar 2025,03 Mar 2025,X CORP. PAID FEATURES   BASTROP,168.48
01 Mar 2025,01 Mar 2025,GOOGLE *GSUITE_ROMERO.  CC@GOOGLE.COM,144.00
01 Mar 2025,01 Mar 2025,GRACIAS POR SU PAGO EN LINEA,-50000.00
01 Mar 2025,01 Mar 2025,GRACIAS POR SU PAGO EN LINEA,-49900.00
01 Mar 2025,01 Mar 2025,GRACIAS POR SU PAGO EN LINEA,-49800.00
01 Mar 2025,01 Mar 2025,GRACIAS POR SU PAGO EN LINEA,-5641.25
01 Mar 2025,01 Mar 2025,RAPPI*RAPPI MEXICO      MEXICO CITY,348.80
01 Mar 2025,01 Mar 2025,REST POPOCATEPETL       CIUDAD DE MEX,582.00
01 Mar 2025,01 Mar 2025,UBER TRIP               HTTPS://HELP.UB,145.93
01 Mar 2025,01 Mar 2025,UBER TRIP               HTTPS://HELP.UB,170.27
