Fecha,Fecha de Compra,Descripción,Importe
28 Feb 2025,01 Mar 2025,BELMONDO                MEXICO,319.00
28 Feb 2025,01 Mar 2025,CAFE TORMENTA           MEXICO,108.00
28 Feb 2025,28 Feb 2025,"GITHUB, INC.            SAN FRANCISCO",294.86
27 Feb 2025,28 Feb 2025,AMAZON MX MARKETPLACE*A MEXICO CITY,427.49
27 Feb 2025,27 Feb 2025,AMAZON MX MARKETPLACE*A MEXICO CITY,565.00
27 Feb 2025,27 Feb 2025,AMAZON MX*AMAZON RETAIL MEXICO CITY,594.83
27 Feb 2025,28 Feb 2025,ANTHROPIC               PASADENA,1051.24
27 Feb 2025,27 Feb 2025,AUDIBLE*5J64M9F93       AMZN.COM/BILL,314.32
27 Feb 2025,28 Feb 2025,CLAUDE.AI SUBSCRIPTION  PASADENA,420.49
27 Feb 2025,28 Feb 2025,GONZALITOS TAQUERIA S   CIUDAD DE MEX,347.60
27 Feb 2025,27 Feb 2025,UBER TRIP               HTTPS://HELP.UB,49.91
26 Feb 2025,27 Feb 2025,AMAZON MX MARKETPLACE*A MEXICO CITY,1419.93
26 Feb 2025,26 Feb 2025,AMAZON MX*AD FREE FOR P MEXICO CITY,50.00
26 Feb 2025,27 Feb 2025,REST OJO ROJO DINNER    CIUDAD DE MEX,385.00
25 Feb 2025,26 Feb 2025,ATARANTADOS             CIUDAD DE MEX,335.50
25 Feb 2025,26 Feb 2025,BILLPOCKET*CAFE V 15ADD CUAUHTEMOC,3100.00
25 Feb 2025,27 Feb 2025,GOOGLE *TINDER          G.CO/HELPPAY#,164.00
24 Feb 2025,25 Feb 2025,REST GARDELA            CIUDAD DE MEX,3309.90
23 Feb 2025,23 Feb 2025,AEROMEXICO 8697744      NUEVO PORTAL,4486.12
23 Feb 2025,23 Feb 2025,AMAZON MX MSI MKT*AMAZO MEXICO CITY,42.45
23 Feb 2025,23 Feb 2025,AMAZON MX MSI MKT*AMAZO MEXICO CITY,450.69
23 Feb 2025,23 Feb 2025,AMAZON MX MSI MKT*AMAZO MEXICO CITY,569.14
23 Feb 2025,23 Feb 2025,AMAZON MX MSI MKT*AMAZO MEXICO CITY,1021.50
23 Feb 2025,23 Feb 2025,AMAZON MX MSI RETAIL*AM MEXICO CITY,966.59
23 Feb 2025,23 Feb 2025,AMAZON MX MSI RETAIL*AM MEXICO CITY,1091.39
23 Feb 2025,23 Feb 2025,AMAZON MX MSI RETAIL*AM MEXICO CITY,1666.42
23 Feb 2025,23 Feb 2025,AMAZON MX*PRIME VIDEO R MEXICO CITY,50.00
23 Feb 2025,23 Feb 2025,APPLE.COM/BILL          CUPERTINO,17.00
23 Feb 2025,23 Feb 2025,APPLE.COM/BILL          CUPERTINO,109.00
23 Feb 2025,23 Feb 2025,APPLE.COM/BILL          CUPERTINO,219.00
23 Feb 2025,23 Feb 2025,ELPALACIOHIERRO COM     MEXICO,1220.28
23 Feb 2025,23 Feb 2025,ETSY.COM - CORASSTUECKV IRELAND,3923.54
23 Feb 2025,23 Feb 2025,GAIA DESIGN             CUAUHTEMOC,2055.28
23 Feb 2025,25 Feb 2025,GOOGLE *NEST            G.CO/HELPPAY#,150.00
23 Feb 2025,24 Feb 2025,GOOGLE *WORKSPACE       CC@GOOGLE.COM,200.00
23 Feb 2025,24 Feb 2025,GOOGLE *YOUTUBEPREMIUM  G.CO/HELPPAY#,139.00
23 Feb 2025,23 Feb 2025,PALACIODEHIERRO DURANGO MEXICO,6658.94
23 Feb 2025,23 Feb 2025,RAPPI*RAPPI MEXICO      MEXICO CITY,233.80
23 Feb 2025,23 Feb 2025,RAPPI*RAPPI MEXICO      MEXICO CITY,311.60
22 Feb 2025,22 Feb 2025,CABLE Y COMU MORELIA SA CIUDAD DE MEXIC,719.37
22 Feb 2025,23 Feb 2025,LIVERPOOL INTER 0039    MEXICO DF,34499.25
22 Feb 2025,22 Feb 2025,MERCPAGO*MUGLA          San Pedro Gar,13620.00
22 Feb 2025,22 Feb 2025,RAPPI*RAPPI MEXICO      MEXICO CITY,121.50
22 Feb 2025,22 Feb 2025,REST LARDO              CIUDAD DE MEX,45.00
22 Feb 2025,23 Feb 2025,UBER TRIP               HTTPS://HELP.UB,161.92
21 Feb 2025,21 Feb 2025,MERCADOPAGO*ANTQMORE    Nezahualcoyot,1000.00
21 Feb 2025,21 Feb 2025,MERCADOPAGO*GONZALITOS  Cuauht?moc,391.60
21 Feb 2025,21 Feb 2025,REST LARDO              CIUDAD DE MEX,615.25
21 Feb 2025,21 Feb 2025,SPOTIFY MX              MEXICO,129.00
21 Feb 2025,22 Feb 2025,WWW.MUBI.COM            NEW YORK,179.00
20 Feb 2025,21 Feb 2025,ADC DHL EXPRESS MEXICO  MEXICO,5713.84
20 Feb 2025,20 Feb 2025,AMAZON MX MARKETPLACE*A MEXICO CITY,668.68
20 Feb 2025,21 Feb 2025,BELMONDO                MEXICO,346.50
19 Feb 2025,19 Feb 2025,NETFLIX.COM             NETFLIX.COM,482.14
19 Feb 2025,20 Feb 2025,RESTAURAT CAMOMILA      CIUDAD DE MEX,486.20
19 Feb 2025,20 Feb 2025,ZTL*QUENTIN CAFÉ        MEXICO,55.00
18 Feb 2025,19 Feb 2025,ATARANTADOS             CIUDAD DE MEX,308.00
18 Feb 2025,20 Feb 2025,GOOGLE *TINDER          G.CO/HELPPAY#,164.00
17 Feb 2025,18 Feb 2025,AMAZON MX MARKETPLACE*A MEXICO CITY,3749.00
17 Feb 2025,18 Feb 2025,REST OJO ROJO DINNER    CIUDAD DE MEX,385.00
16 Feb 2025,16 Feb 2025,AMAZON MX MARKETPLACE*A MEXICO CITY,-836.38
16 Feb 2025,16 Feb 2025,AMAZON MX*AMAZON RETAIL MEXICO CITY,103.44
16 Feb 2025,16 Feb 2025,ETSY.COM - HANDPICKEDBY IRELAND,4299.10
16 Feb 2025,16 Feb 2025,IKANO RETAIL MÉXICO S.A MEXICO CITY,8598.00
16 Feb 2025,17 Feb 2025,MERCADOPAGO*TEMUCOM     CDMX,2661.47
16 Feb 2025,18 Feb 2025,PETCO CONDESA II        CUAUHTEMOC,159.00
16 Feb 2025,16 Feb 2025,RAPPI*RAPPI MEXICO      MEXICO CITY,30.00
16 Feb 2025,16 Feb 2025,RAPPI*RAPPI MEXICO      MEXICO CITY,602.80
16 Feb 2025,16 Feb 2025,ROTOPLAS SERVICIO       CDMX,369.00
16 Feb 2025,17 Feb 2025,WWW.KISMAS.COM          +37068309520,17737.42
15 Feb 2025,15 Feb 2025,RAPPI*RAPPI MEXICO      MEXICO CITY,1045.80
15 Feb 2025,15 Feb 2025,RAPPI*RAPPI MEXICO      MEXICO CITY,1378.80
15 Feb 2025,16 Feb 2025,ZTL*ODETTE CUISINE      CDMX,176.00
14 Feb 2025,15 Feb 2025,PET POINT               CUAUHTEMOC,8325.00
14 Feb 2025,14 Feb 2025,UBER TRIP               HTTPS://HELP.UB,50.00
14 Feb 2025,14 Feb 2025,UBER TRIP               HTTPS://HELP.UB,97.85
14 Feb 2025,16 Feb 2025,UBER TRIP               HTTPS://HELP.UB,99.91
13 Feb 2025,13 Feb 2025,APPLE.COM/BILL          CUPERTINO,199.00
13 Feb 2025,14 Feb 2025,ATARANTADOS             CIUDAD DE MEX,348.00
13 Feb 2025,13 Feb 2025,TELEFONOS DE MEXICO SAB CIUDAD DE MEXIC,1148.00
13 Feb 2025,14 Feb 2025,THE REST IS HISTORY     HAYWARDS HEATH,158.30
12 Feb 2025,13 Feb 2025,FS *PUT.IO              877-327-8914,210.23
